title,genre
13 Things Mentally Strong People Don't Do,Nathaniel Branden
How to lead when you are not in charge,Amy Morin
Overcoming Shyness,Clay Scroggins
Imposter Syndrom,Erik Myers
How to control your anxiety before it controls you,Emee Vida Estatio
,Albert Ellis
"Rich Dad, Poor Dad",
The Subtle Art of Not Giving a F*ck,Robert Kiyosaki
Models,Mark Manson
Everything is F*cked,Mark Manson
Grit: The Power of Passion and Perseverance,Mark Manson
"So Good, They Can't Ignore You",Angela Duckworth
The Purity Princile,Cal Newport
Found: God's Will,Randy Alcorn
,John McArthur
The Power of Habit,
The Meaning of Marriage,Charles Duhigg
,Timothy Keller
